gene,sod
ARHGAP11B,-0.0107
DEPTOR,-0.0108
SIPA1L1,-0.0108
AC005838.2,-0.0108
CIART,-0.0109
AL022323.4,-0.0109
PRKAB2,-0.0109
ALDH3B1,-0.011
AC016205.1,-0.0112
LINC02454,-0.0113
TSPAN7,-0.0115
AC005332.1,-0.0116
MFSD2A,-0.0117
PRR26,-0.0118
CCDC154,-0.012
GDPD3,-0.0121
TTLL6,-0.0121
DOC2A,-0.0122
CACHD1,-0.0123
CSF2RA,-0.0125
RBPMS2,-0.0126
AC062017.1,-0.0126
SYNPO2L,-0.0129
XKR5,-0.0129
APBB2,-0.013
PLPP3,-0.0131
ENC1,-0.0134
ESPN,-0.0134
FBXL20,-0.0137
PLEKHH1,-0.0138
MYEF2,-0.0138
KLHL7-DT,-0.014
AC093249.6,-0.0142
LINC01694,-0.0142
SAMD5,-0.0142
AL365500.1,-0.0142
ETV3,-0.0143
CPB2-AS1,-0.0144
MTBP,-0.0144
C17orf77,-0.0146
CCR1,-0.0147
CUL7,-0.0148
MPZ,-0.0148
AP000569.1,-0.0148
KBTBD3,-0.0148
FOXP4-AS1,-0.0148
VWF,-0.0149
RAP1GAP2,-0.0149
TSPAN1,-0.0149
AL591846.2,-0.015
PCSK4,-0.0151
AL512353.1,-0.0154
PXYLP1,-0.0154
MAFB,-0.0156
TAPBPL,-0.0157
RAPH1,-0.0158
HAR1B,-0.0158
RFTN2,-0.0159
JMY,-0.0161
AC009955.4,-0.0161
FXYD7,-0.0162
IQGAP3,-0.0162
DNMT3B,-0.0163
ELOVL3,-0.0163
HCG11,-0.0164
PER1,-0.0165
GNAS-AS1,-0.0165
LMOD3,-0.0165
PELI1,-0.0166
HRASLS,-0.0167
PDCD4-AS1,-0.017
BEND5,-0.017
SHC4,-0.0172
ACBD4,-0.0172
AC123777.1,-0.0172
AC110769.2,-0.0173
ANO7,-0.0173
AC104958.2,-0.0174
HSPB8,-0.0175
AC008637.1,-0.0176
CLHC1,-0.0179
SPTBN2,-0.0181
CXCL16,-0.0181
HECTD2,-0.0182
AC008403.3,-0.0183
CCDC184,-0.0183
B3GNT5,-0.0184
NAP1L5,-0.0184
AL049840.1,-0.0186
C17orf53,-0.0186
AC040970.1,-0.0187
AC012640.1,-0.0188
SLC17A5,-0.019
REEP2,-0.019
FRMD3,-0.019
YPEL4,-0.0192
CSRNP2,-0.0193
DPYSL4,-0.0193
TAF1A,-0.0193
GDNF,-0.0194
MAGEA12,-0.0194
DCUN1D3,-0.0196
PCDHGC3,-0.0196
OCA2,-0.0197
COL6A3,-0.0197
LINC01311,-0.0197
CCDC191,-0.0197
ROM1,-0.0199
ERV3-1,-0.0199
PKDCC,-0.02
IFT80,-0.02
PPARGC1B,-0.0201
AP001160.1,-0.0201
AC005076.1,-0.0202
DDX11-AS1,-0.0203
GRIK4,-0.0203
AC116366.3,-0.0203
TUBE1,-0.0204
DNAJA4,-0.0204
BTBD19,-0.0205
AC091057.6,-0.0206
ACTL10,-0.0206
SERPINF1,-0.0206
OSER1-DT,-0.0206
IQCG,-0.0207
TP53I11,-0.0207
TMEM56,-0.0208
SH3D19,-0.0209
CHRNB1,-0.021
AC012615.1,-0.021
RDH8,-0.021
ARHGEF3,-0.021
SPACA6,-0.0211
FN3K,-0.0211
HLA-F,-0.0211
LMNTD2,-0.0211
BATF2,-0.0211
RHBDL1,-0.0216
TRG-AS1,-0.0217
PTGER4,-0.0218
CCDC24,-0.0218
MAP3K14,-0.0218
PCDHB14,-0.0219
APOBEC3B,-0.0219
AC072061.1,-0.022
CDK15,-0.022
ANKRD34A,-0.0221
RSPH9,-0.0221
NOTUM,-0.0221
VASH1,-0.0222
KCNS3,-0.0223
AL034549.1,-0.0226
MAP1LC3A,-0.0226
HCN1,-0.0227
TTC30A,-0.0228
SLC35E2B,-0.0229
DNAAF3,-0.0229
SAMD12,-0.0231
ERICH2,-0.0232
MEIS1,-0.0233
CLK4,-0.0233
FCGR2B,-0.0233
TMEM44,-0.0234
EFR3B,-0.0235
ATP6V1C2,-0.0236
ELMOD1,-0.0236
SMCR8,-0.0237
LARGE1,-0.0238
FAT4,-0.0239
ZNF181,-0.0239
NXPH4,-0.0239
KCNMB4,-0.024
LINC00681,-0.0241
SATB1,-0.0242
RNF215,-0.0242
AC104532.2,-0.0243
TNFRSF14-AS1,-0.0243
MORC4,-0.0245
PCNX2,-0.0246
GPRASP1,-0.0246
C4orf47,-0.0248
WDR31,-0.0248
ZNF436,-0.0248
SCN1B,-0.0248
RAP2C,-0.0248
SUV39H1,-0.0248
ABHD3,-0.0249
ARHGEF26,-0.0249
CCDC153,-0.0249
FBXO30,-0.025
LINC01611,-0.025
KATNAL1,-0.025
SCUBE2,-0.025
AC147067.1,-0.0251
HBQ1,-0.0252
AP001462.1,-0.0253
AC107419.1,-0.0254
C6orf52,-0.0255
HDAC4,-0.0256
AC009414.2,-0.0256
NRTN,-0.0256
SPATA7,-0.0257
TCHH,-0.0257
PNMA6A,-0.026
CASTOR2,-0.0262
AC048341.1,-0.0263
TMEM79,-0.0263
AC139887.2,-0.0263
TXNL4B,-0.0264
C16orf86,-0.0265
CD302,-0.0266
AJUBA,-0.0266
OTUB2,-0.0268
PTPRH,-0.0269
MYH14,-0.027
CENPBD1,-0.027
AC018797.2,-0.027
RAB3D,-0.0272
SEC14L2,-0.0272
AC090673.1,-0.0273
RDH5,-0.0273
PTPRD,-0.0273
ZER1,-0.0274
AC110285.5,-0.0274
MYOCOS,-0.0276
AC064836.3,-0.0277
RAB3IL1,-0.0277
MLLT11,-0.0277
AL391121.1,-0.0279
AL358472.2,-0.028
OSBPL10,-0.028
IL15,-0.0282
TNKS2-AS1,-0.0282
AC112206.2,-0.0284
NYAP1,-0.0285
AUH,-0.0286
NRAV,-0.0287
CDKL3,-0.0287
POU4F1,-0.0289
PCSK6,-0.029
COL16A1,-0.0291
FOXD3-AS1,-0.0291
ARNTL,-0.0291
LINC00893,-0.0292
PPP1R3B,-0.0293
H1FX-AS1,-0.0293
IPO9-AS1,-0.0293
TMEM117,-0.0294
GTF2IRD2,-0.0294
CLDN15,-0.0294
TRIM52,-0.0294
ZBTB10,-0.0295
LINC01480,-0.0296
CACNB3,-0.0297
AF196972.1,-0.0299
LIFR-AS1,-0.03
OSMR-AS1,-0.03
DOPEY2,-0.03
CBX7,-0.0301
AC106707.1,-0.0301
RBMS3,-0.0301
DLX4,-0.0302
APCDD1,-0.0302
UHRF1BP1,-0.0303
AC061992.1,-0.0304
ARHGDIB,-0.0305
ASPA,-0.0305
AC106881.1,-0.0306
FBXO8,-0.0306
C2orf70,-0.0306
AC211476.2,-0.0307
DHRS1,-0.0308
BCHE,-0.0308
KSR1,-0.0308
CASP7,-0.0308
SPATA13,-0.0309
RHOBTB1,-0.031
MAML3,-0.0311
BMF,-0.0312
PRR16,-0.0312
TRIM9,-0.0313
LINC02475,-0.0313
HOXC6,-0.0313
STARD4-AS1,-0.0314
AC103718.1,-0.0316
MARCH8,-0.0318
ZBTB7B,-0.032
BISPR,-0.0321
LONRF2,-0.0323
B3GAT1,-0.0323
LFNG,-0.0325
POLI,-0.0325
CRY2,-0.0326
TIGD7,-0.0326
C2orf72,-0.0327
ABAT,-0.033
ASIP,-0.033
POT1-AS1,-0.0331
B4GALT6,-0.0332
RUSC2,-0.0333
ZNF425,-0.0333
VPS37D,-0.0334
AC004943.2,-0.0334
ACVR2B,-0.0336
NPAS3,-0.0336
WDFY3,-0.0337
MINDY1,-0.0338
LINC01659,-0.0339
ARL5B,-0.0339
SFTPC,-0.034
PKN3,-0.0341
LINC01762,-0.0341
TTC13,-0.0342
NEDD9,-0.0342
TBC1D32,-0.0343
ERI2,-0.0343
DMPK,-0.0346
C20orf204,-0.0346
AC006329.1,-0.0346
ADCY6,-0.0348
VPREB3,-0.0351
AL135925.1,-0.0351
AC007448.3,-0.0352
TRIM7,-0.0353
AC019197.1,-0.0353
ZNF594,-0.0353
DNAAF4,-0.0354
FAM214A,-0.0356
C16orf95,-0.0358
AC069185.1,-0.0358
CPT1A,-0.0359
ZNF100,-0.036
ACSBG1,-0.0361
HIST1H2BF,-0.0361
AL049874.3,-0.0362
UBQLN2,-0.0362
RN7SL832P,-0.0363
SP140,-0.0363
EFCAB13,-0.0364
RBKS,-0.0365
EHD3,-0.0365
JAK2,-0.0365
MADCAM1,-0.0365
USP2-AS1,-0.0366
GIPC3,-0.0366
PROX1,-0.0367
ZNF891,-0.0367
PEBP4,-0.0369
CDK2AP1,-0.0371
PAFAH2,-0.0371
ABCG5,-0.0372
NAGS,-0.0372
AC036176.1,-0.0372
TRIM51,-0.0373
KCNK2,-0.0373
LPAR1,-0.0374
MYO18A,-0.0375
AL355001.2,-0.0377
FBXL2,-0.0377
TGFBR3,-0.0378
SLC8B1,-0.0378
ADGRB2,-0.0379
RAB11FIP4,-0.0379
PTP4A3,-0.0379
GPR160,-0.0379
AL021368.2,-0.038
SLC16A10,-0.038
CTBP1-DT,-0.038
SEMA6D,-0.038
LPP-AS2,-0.0381
TINAGL1,-0.0381
ZNF726,-0.0382
ATL1,-0.0382
AC009570.1,-0.0383
TP73,-0.0383
FAM24B,-0.0383
TNFRSF11A,-0.0384
AKNA,-0.0384
PDGFD,-0.0385
FAM19A4,-0.0385
PITPNM1,-0.0386
CASP9,-0.0386
Z93241.1,-0.0387
FOXN3,-0.0387
ARSK,-0.0388
MAPK11,-0.0388
AL139289.2,-0.0388
BCORL1,-0.0388
LMTK2,-0.0388
FGFBP3,-0.0389
SLC45A3,-0.0389
ST3GAL1,-0.039
GPR19,-0.039
AC105942.1,-0.039
HIP1R,-0.0391
COLGALT2,-0.0391
PAXIP1-AS2,-0.0391
FANCM,-0.0393
AL117336.3,-0.0393
C9orf50,-0.0393
HCN3,-0.0394
DERL3,-0.0394
SLC33A1,-0.0395
FGFR1OP,-0.0395
ZSCAN2,-0.0395
HOXA5,-0.0396
TMEM91,-0.0396
BOC,-0.0397
CAB39L,-0.0397
HOXB7,-0.0397
BTG2,-0.0397
ZNF273,-0.0399
FEM1C,-0.0399
SLC35D1,-0.04
PIGZ,-0.04
NAPA-AS1,-0.04
AL391422.3,-0.04
LINC02076,-0.0401
RUNX2,-0.0401
FP700111.1,-0.0403
MIAT,-0.0403
SMO,-0.0404
PLA2G6,-0.0404
AC109587.1,-0.0406
GPSM3,-0.0406
TAF7L,-0.0406
YJEFN3,-0.0407
AL136987.1,-0.0407
SLC5A9,-0.0408
ZNF117,-0.0409
WFDC3,-0.0409
DNASE1,-0.0411
ABLIM3,-0.0411
TIGD6,-0.0411
TUBD1,-0.0411
RTL8B,-0.0411
MINDY4,-0.0412
SLC25A53,-0.0413
AL162231.1,-0.0413
FAM110D,-0.0413
AC018647.2,-0.0414
AGPAT4,-0.0414
HIC2,-0.0414
LINC01355,-0.0415
PLIN5,-0.0416
SSH3,-0.0416
TMEM198,-0.0417
ZNF513,-0.0417
JHY,-0.0418
AC009237.14,-0.0418
PAOX,-0.0418
AC003965.1,-0.0418
TMOD1,-0.0422
MCF2L2,-0.0422
FAXDC2,-0.0422
INTS6-AS1,-0.0423
AL451085.2,-0.0424
LRRC8C-DT,-0.0424
CXorf40A,-0.0424
AL450311.2,-0.0426
RAB39B,-0.0426
LYSMD3,-0.0426
KANTR,-0.0426
MAGEA3,-0.0426
ARRDC4,-0.043
AC116667.2,-0.043
ZSWIM6,-0.0431
NEURL2,-0.0431
AC021092.1,-0.0431
RNF139-AS1,-0.0431
FADS2,-0.0432
ZSCAN29,-0.0434
RHOJ,-0.0435
PKNOX2,-0.0435
BAIAP2-DT,-0.0435
ZNF333,-0.0436
PLEKHN1,-0.0436
TET2,-0.0436
ANKRA2,-0.0437
LINC01301,-0.0438
SEMA6B,-0.0438
ANGPT2,-0.0438
MYO16,-0.0438
ROPN1L,-0.0439
RNF32,-0.044
PTBP2,-0.044
TM4SF18,-0.0441
AL008729.2,-0.0442
FBXL7,-0.0442
ZNF350,-0.0442
AC007881.3,-0.0444
PLEKHS1,-0.0444
AL136084.3,-0.0445
F8,-0.0445
CFAP69,-0.0445
PSEN1,-0.0446
REXO5,-0.0446
AFF3,-0.0447
MACROD2,-0.0447
RNF182,-0.0448
ZNF417,-0.0448
AL354732.1,-0.0448
NFATC1,-0.0449
SLC18B1,-0.0449
GPRC5C,-0.0449
RELL1,-0.045
LZTFL1,-0.0451
BOK,-0.0451
TTC21A,-0.0451
PHETA1,-0.0452
EXOC8,-0.0452
SBF2-AS1,-0.0452
VLDLR-AS1,-0.0452
DGKQ,-0.0452
IGSF5,-0.0452
TMEFF2,-0.0453
TYRP1,-0.0454
CPE,-0.0454
AL133325.3,-0.0455
GRAP2,-0.0455
ZDHHC13,-0.0456
PSORS1C1,-0.0456
AC037459.3,-0.0456
MXD1,-0.0457
UNC5C,-0.0458
ATP2A1-AS1,-0.0458
DNAJC12,-0.0459
SEMA3E,-0.0459
PRMT6,-0.0459
PDE9A,-0.0461
TENT5C,-0.0461
AL358472.4,-0.0462
STXBP4,-0.0463
POLD4,-0.0463
ZNRF2,-0.0463
ZNF785,-0.0464
TUBB2B,-0.0465
GRK5,-0.0465
AC023908.3,-0.0465
AGO4,-0.0467
FBLN5,-0.0468
DHX58,-0.0468
ASH1L-AS1,-0.0469
RCBTB2,-0.047
PI15,-0.047
NLK,-0.0471
RASA4,-0.0472
TMC8,-0.0474
PLA2G4A,-0.0476
RAVER2,-0.0476
SIGLEC9,-0.0476
DTX4,-0.0476
CGN,-0.0477
SLAIN1,-0.0477
FAM72A,-0.0477
GRTP1,-0.0477
TBCEL,-0.0478
FGFR4,-0.0479
ENO3,-0.0479
LINC00472,-0.0479
CARMN,-0.0479
TMEM52,-0.048
TRNP1,-0.0481
AC083843.3,-0.0482
SLC37A3,-0.0482
PRSS12,-0.0482
CCDC189,-0.0482
ULBP2,-0.0482
ZDHHC21,-0.0483
TCN2,-0.0483
C4orf46,-0.0484
POC1B-AS1,-0.0484
SLC38A11,-0.0485
ABTB2,-0.0485
MYORG,-0.0485
PROSER3,-0.0485
HRH2,-0.0487
HLA-DPA1,-0.0488
TFAP2A-AS1,-0.0489
TSHZ3,-0.049
GTF2IRD2B,-0.049
LINC01117,-0.0491
SLFN12,-0.0491
PGF,-0.0491
PCDHB9,-0.0491
LRP5,-0.0491
RGL3,-0.0491
FLI1,-0.0493
AL109917.1,-0.0493
FRMD5,-0.0494
N4BP2L1,-0.0494
AC020911.2,-0.0495
LINC00492,-0.0496
TPBGL,-0.0497
IFITM2,-0.0497
RHPN1,-0.0498
HBEGF,-0.0498
RGPD5,-0.0499
TRIM21,-0.0499
FAM225A,-0.05
TNFRSF19,-0.05
AC138207.2,-0.05
KCNK9,-0.0501
WDR19,-0.0501
LINC00526,-0.0502
NCR3LG1,-0.0503
LINC01515,-0.0503
ZNF587,-0.0504
CHRNA5,-0.0504
TSPAN32,-0.0504
ZNF215,-0.0505
IL1RAPL1,-0.0505
GCH1,-0.0505
LZTS3,-0.0505
SYP,-0.0505
AC098487.1,-0.0505
PHLPP2,-0.0506
ZFHX4,-0.0507
KIAA1147,-0.0507
TICAM1,-0.0508
RBM15,-0.0509
AHNAK2,-0.0509
SLC25A45,-0.051
AC106897.1,-0.0511
ZNF19,-0.0511
SMAD9,-0.0512
LINC01473,-0.0512
C1QTNF1,-0.0513
AC104187.1,-0.0514
EDA,-0.0514
ANKAR,-0.0515
FGF13,-0.0515
IGLON5,-0.0516
MYLK-AS1,-0.0516
EPHA5,-0.0516
TFF3,-0.0517
KCTD21-AS1,-0.0517
CCDC171,-0.0518
UBA7,-0.0518
ZBTB18,-0.0518
HOXC8,-0.0519
PLEKHG3,-0.0519
ABCA7,-0.052
AL138737.1,-0.052
SLC25A25,-0.052
HSPA4L,-0.052
MUC1,-0.052
AL356108.1,-0.052
FAM184A,-0.0521
SLC11A1,-0.0521
MED18,-0.0521
TMEM8B,-0.0522
NBPF15,-0.0523
AC002470.1,-0.0524
SLC12A5-AS1,-0.0524
AC027237.3,-0.0525
VIM-AS1,-0.0525
LRRC20,-0.0525
B3GLCT,-0.0525
RNF175,-0.0525
FOXC1,-0.0526
AC087239.1,-0.0526
PGBD2,-0.0526
WFDC2,-0.0526
AZGP1,-0.0526
CNEP1R1,-0.0527
HINT3,-0.0527
ZNF41,-0.0528
TIFA,-0.0528
CX3CL1,-0.0531
NBPF10,-0.0531
DNHD1,-0.0531
IQCJ-SCHIP1,-0.0531
PITPNM3,-0.0531
TSPAN13,-0.0532
TCTE3,-0.0532
MISP3,-0.0533
WDPCP,-0.0534
KLHDC1,-0.0534
C1QTNF2,-0.0534
CA11,-0.0535
AC006058.1,-0.0535
XPR1,-0.0536
HCFC2,-0.0536
B4GALT1-AS1,-0.0536
MTMR11,-0.0536
TAMM41,-0.0536
HIST1H2AI,-0.0536
AL353622.1,-0.0537
C19orf81,-0.0537
COL11A2,-0.0538
GRB14,-0.0538
PGBD5,-0.0538
DNAJC3-DT,-0.0539
MYL5,-0.0539
UNC13C,-0.0539
LNP1,-0.054
LYZ,-0.0541
DCLK2,-0.0541
LINGO1,-0.0542
COG3,-0.0542
MGAT4A,-0.0542
CPNE5,-0.0543
PURG,-0.0543
SPOPL,-0.0543
TEX15,-0.0543
ZNF197,-0.0543
AFF1,-0.0543
RNF146,-0.0544
COG1,-0.0544
AL035413.1,-0.0544
STRADA,-0.0544
MYO1F,-0.0545
CYB561D1,-0.0548
CARF,-0.0548
EN1,-0.0548
ST7-AS1,-0.0549
ARHGEF37,-0.0549
AC093627.5,-0.0549
CDCA7L,-0.0551
WDR27,-0.0551
FAM124A,-0.0551
GPR146,-0.0552
BEND7,-0.0553
LINC01635,-0.0553
ST3GAL3,-0.0553
SH3BGR,-0.0554
U47924.2,-0.0554
AC048341.2,-0.0554
MTPAP,-0.0555
TCTN2,-0.0555
ZNF407,-0.0555
ZNF837,-0.0556
ACSL1,-0.0556
AP000845.1,-0.0558
PRRT1,-0.0559
AL133453.1,-0.0559
LMLN,-0.0559
C9orf116,-0.0559
PLPP6,-0.0559
OLMALINC,-0.056
SLFN11,-0.056
TIGD1,-0.056
CLBA1,-0.056
AP001527.2,-0.056
ERBB4,-0.0561
CIPC,-0.0563
USPL1,-0.0563
TBX6,-0.0563
ERAP1,-0.0563
ZBED6,-0.0563
ANO4,-0.0564
LINC00663,-0.0565
SPEF2,-0.0565
CCDC142,-0.0565
AC004148.2,-0.0566
IFT140,-0.0567
TRAM2-AS1,-0.0568
RAB33B,-0.0569
PCAT1,-0.057
ZNF160,-0.057
FAM120B,-0.057
HIST1H2AB,-0.057
NKX1-2,-0.0571
ANK3,-0.0571
AC015813.1,-0.0571
CALN1,-0.0571
UBE2V1,-0.0571
NBPF11,-0.0572
CHN2,-0.0572
LINC00243,-0.0573
AP003469.4,-0.0573
AP000802.1,-0.0574
ADAMTS17,-0.0574
MTMR8,-0.0574
CRYBB2,-0.0574
CCDC40,-0.0575
NFYC-AS1,-0.0575
ZNF395,-0.0576
CD1A,-0.0577
ZNF184,-0.0577
MPRIP-AS1,-0.0577
CRAMP1,-0.0577
RASSF5,-0.0578
TMEM272,-0.0578
PGBD4,-0.058
TRAF3IP3,-0.0581
CLDN20,-0.0581
HINFP,-0.0581
CADM4,-0.0582
NKX3-1,-0.0583
PCDHB16,-0.0583
GSEC,-0.0584
KIAA0753,-0.0584
AL031846.2,-0.0584
ARHGAP8,-0.0585
AC015982.1,-0.0586
ATP6V1FNB,-0.0586
ALKBH8,-0.0586
AC108047.1,-0.0587
LONRF3,-0.0587
VXN,-0.0589
AC137579.1,-0.0589
AL662884.4,-0.059
AP002761.3,-0.059
AC011944.1,-0.059
DCX,-0.0591
PUS10,-0.0591
AZIN2,-0.0591
GLIS2,-0.0593
C11orf54,-0.0593
KIF27,-0.0594
AP1S3,-0.0595
DNAH9,-0.0595
AL136162.1,-0.0595
BBS10,-0.0595
LIG4,-0.0595
CBWD6,-0.0595
AC084809.2,-0.0596
FAM227B,-0.0596
GSTCD,-0.0596
AC016575.1,-0.0596
MANSC1,-0.0596
ANKRD42,-0.0596
RASEF,-0.0597
FAM41C,-0.0597
FAM53C,-0.0597
PYGO1,-0.0597
C10orf95,-0.0598
CPED1,-0.0598
AL049597.2,-0.0599
FAM71F2,-0.0599
LRRC7,-0.0599
UNC13D,-0.06
NALCN,-0.06
AC006942.1,-0.06
RRAGB,-0.06
CASC10,-0.0601
CFD,-0.0601
BNC2-AS1,-0.0601
UGT8,-0.0601
ZNF599,-0.0601
AC137630.3,-0.0602
NOCT,-0.0603
DCDC2,-0.0603
AL645728.1,-0.0604
MLKL,-0.0605
Z69720.1,-0.0605
BAIAP2L2,-0.0605
AC093635.1,-0.0605
ELL,-0.0605
COLEC12,-0.0606
ULK1,-0.0606
C10orf143,-0.0606
PKIA,-0.0607
AL135999.1,-0.0608
BHLHE22,-0.0609
KCNJ14,-0.0609
AC120053.1,-0.0609
SCAF8,-0.0609
CCDC7,-0.0609
AL355297.4,-0.061
UPK1A-AS1,-0.061
ANKHD1,-0.061
LINC01474,-0.061
CDH3,-0.061
AL139260.1,-0.0611
AL035681.1,-0.0611
USP54,-0.0611
RBM11,-0.0611
LDB3,-0.0612
SLC4A3,-0.0612
MAPK10,-0.0613
CDH24,-0.0613
ANKEF1,-0.0613
ZBTB8A,-0.0614
AC097376.2,-0.0614
TMEM106A,-0.0615
TSPYL4,-0.0616
ZNF43,-0.0616
JAK3,-0.0616
LINC00327,-0.0616
KLHL2,-0.0617
SHROOM3,-0.0617
PLS1,-0.0617
CRY1,-0.0618
AC093462.1,-0.0619
AL133304.2,-0.0619
KCNC4,-0.062
MDGA2,-0.062
PRRG1,-0.062
APOL1,-0.0621
LINC01588,-0.0621
SH3TC2,-0.0621
KLF15,-0.0621
SPATA2L,-0.0622
PIGA,-0.0622
AF117829.1,-0.0622
GABPB2,-0.0622
APOBEC3F,-0.0623
TCTEX1D1,-0.0623
FAM151B,-0.0623
ZBTB5,-0.0624
PSMB8-AS1,-0.0625
TENM2,-0.0625
ZNF862,-0.0627
CUBN,-0.0627
EIF2AK3,-0.0628
ZNF516,-0.0628
B4GALNT3,-0.0628
AL590399.1,-0.0628
VAMP4,-0.0629
L3MBTL3,-0.0629
KLHL28,-0.0629
MAS1,-0.0629
TVP23C,-0.0629
GRID1,-0.0629
VAMP1,-0.0629
SGMS1,-0.063
REC8,-0.063
LRP4,-0.063
B3GALT5,-0.063
SIDT2,-0.0631
SMIM2-AS1,-0.0632
PAXBP1-AS1,-0.0632
ZNF185,-0.0632
LINC00310,-0.0632
AC016745.2,-0.0633
AGAP4,-0.0633
AC008608.2,-0.0634
COL7A1,-0.0634
DPY19L2,-0.0634
CERS4,-0.0634
CYB5D1,-0.0634
CDK17,-0.0635
SIX3,-0.0635
MAP3K6,-0.0635
AC091729.3,-0.0635
NPIPB5,-0.0636
MBNL1-AS1,-0.0636
IFFO2,-0.0636
SHANK2,-0.0636
ZNF575,-0.0637
ZNF883,-0.0637
PTPN3,-0.0637
AC006058.3,-0.0639
GEMIN2,-0.064
AP001347.1,-0.064
SYDE2,-0.064
FBXL8,-0.0641
ADAM8,-0.0641
PDZD4,-0.0641
PRKAB1,-0.0641
IL22RA1,-0.0641
SAXO2,-0.0642
HIPK1-AS1,-0.0643
PCAT7,-0.0643
HBG2,-0.0643
TLDC1,-0.0643
AP001157.1,-0.0643
SPI1,-0.0644
SLC35F3,-0.0644
LINC00920,-0.0644
KCNH3,-0.0644
DTWD2,-0.0645
TDP1,-0.0645
PLEKHM3,-0.0646
AC024060.1,-0.0646
CASTOR3,-0.0646
ZNF329,-0.0648
LINC01318,-0.0648
TEX9,-0.0649
VMAC,-0.0649
HDAC6,-0.0649
ZNF202,-0.0649
MAN1C1,-0.0649
AC107032.2,-0.065
ZNF85,-0.065
MARS2,-0.0651
ARL6,-0.0651
TTC28,-0.0651
AC027682.6,-0.0651
FOXO4,-0.0652
AC245060.5,-0.0652
IL2RB,-0.0653
FAN1,-0.0653
CDC42EP2,-0.0653
AC016773.1,-0.0653
FIG4,-0.0653
LINC01730,-0.0653
LAMA2,-0.0654
RIN3,-0.0654
AC092919.1,-0.0655
PHOSPHO1,-0.0655
KRBOX4,-0.0655
AC234582.1,-0.0655
AP005329.3,-0.0655
GRPEL2,-0.0656
EVL,-0.0656
HIST1H3F,-0.0657
ZFP14,-0.0657
PTGR2,-0.0657
TDRD7,-0.0658
HOXB13,-0.0658
AATK,-0.0659
FAM131A,-0.0659
LINC02202,-0.0659
SLC47A1,-0.066
AC133550.2,-0.0661
C1RL-AS1,-0.0661
LAMC3,-0.0661
NCKAP5,-0.0661
OSBPL3,-0.0661
PLCL2,-0.0661
AL354811.1,-0.0661
RORA,-0.0661
POLR2J2,-0.0662
ARSB,-0.0663
NATD1,-0.0663
DOCK6,-0.0663
AC099518.5,-0.0663
GSAP,-0.0663
AC021016.3,-0.0664
ARID3B,-0.0664
CAPS,-0.0664
AC093512.1,-0.0664
PJVK,-0.0665
ADORA2B,-0.0665
FAM171A2,-0.0665
AC007038.1,-0.0665
GDPD1,-0.0665
SGMS1-AS1,-0.0666
SAMD13,-0.0666
SLX4,-0.0666
ZNF487,-0.0667
EFHB,-0.0667
AL354822.1,-0.0668
IKBKE,-0.0668
PIGW,-0.0668
MZF1,-0.0669
SCN8A,-0.0669
AL359851.1,-0.067
WDR37,-0.067
LINC01829,-0.067
UNC119B,-0.0671
PSMD6-AS2,-0.0671
AC245140.2,-0.0671
PARD6B,-0.0671
TLE2,-0.0671
MAST4,-0.0671
CCDC110,-0.0671
ASB2,-0.0671
AC027097.1,-0.0672
LINC02193,-0.0672
PELI3,-0.0673
TMSB15A,-0.0673
SLC9B1,-0.0674
MMP25-AS1,-0.0674
ENO1-AS1,-0.0675
KIAA1328,-0.0675
ZFYVE1,-0.0675
LMBRD2,-0.0676
ARHGAP19,-0.0677
ZNF708,-0.0678
COL19A1,-0.0678
AC022730.4,-0.0678
P3H2-AS1,-0.0679
NFKBID,-0.0679
IDNK,-0.0679
KIAA1024,-0.068
AC015909.2,-0.068
LRRC8C,-0.0681
KLHL29,-0.0681
WDR25,-0.0681
BCDIN3D,-0.0681
AL158835.1,-0.0681
ZIC2,-0.0682
SLC30A1,-0.0682
GSKIP,-0.0683
PROSER2,-0.0683
HIST1H2AK,-0.0683
BUD13,-0.0683
FPGT,-0.0683
ARMCX1,-0.0684
ZBTB2,-0.0684
ZNF134,-0.0684
HOXC5,-0.0685
ZNF649,-0.0685
AC027307.2,-0.0685
TRPC1,-0.0686
SMIM31,-0.0686
TLR6,-0.0688
PRKCH,-0.0688
GKAP1,-0.0688
BX284668.5,-0.0688
AC022098.1,-0.0689
FCHSD1,-0.0689
SEMA7A,-0.0689
IQCK,-0.0689
MAST3,-0.069
PBX3,-0.069
PRUNE2,-0.0691
AC068888.1,-0.0691
GLDC,-0.0691
AC007383.2,-0.0691
CCDC134,-0.0691
C17orf100,-0.0692
OVAAL,-0.0693
LINC01715,-0.0693
ZNF460,-0.0693
MTCL1,-0.0693
RPS6KL1,-0.0693
GPRIN3,-0.0694
L2HGDH,-0.0694
ZNF48,-0.0695
AL442128.2,-0.0695
IL17B,-0.0695
AL391684.1,-0.0696
DLX6,-0.0696
ZNF519,-0.0697
LRCH2,-0.0697
ACCS,-0.0697
DENND1B,-0.0698
CCL17,-0.0698
FAM66C,-0.0699
PIANP,-0.07
AC090061.1,-0.07
AC138150.1,-0.07
LINC00342,-0.07
OBSCN,-0.07
PRR22,-0.07
AC008991.1,-0.07
KCTD11,-0.07
FAM69A,-0.0701
ZNF124,-0.0701
ZNF133,-0.0701
RFX7,-0.0701
AC239800.3,-0.0702
RNF44,-0.0703
AC092326.1,-0.0703
