gene,sod
MGAT5B,0.2912
CYP27C1,0.2911
DLX1,0.291
LINC00520,0.2902
GBP3,0.2887
LINC00632,0.2882
RPS6KA2,0.2872
ZFP36,0.2866
F2RL1,0.286
FZD1,0.2838
ZNF385D,0.2835
PHKG1,0.2834
KLF2,0.2831
C15orf48,0.2825
RAD54L,0.2792
RARRES3,0.279
NRROS,0.2785
DPYD,0.2783
PTGIR,0.2737
FZD8,0.2733
GLI2,0.2717
IL1R1,0.2714
LINC00326,0.271
SLC17A7,0.2701
GADD45B,0.2699
HIST1H2BD,0.2687
ATOH8,0.2686
DEPDC1B,0.267
ADTRP,0.2666
TNFSF10,0.2657
HIVEP3,0.2653
BEND6,0.2627
VIPR1,0.2623
PBXIP1,0.2618
GPC6,0.2604
COL6A5,0.2599
STEAP2,0.2597
BRIP1,0.2595
EGR1,0.2588
AHR,0.2581
CCL5,0.2571
CLU,0.2565
NR2F1-AS1,0.2559
PPY,0.2555
AC009139.1,0.2527
CACNA2D3,0.2519
LINC00996,0.2517
TBX3,0.2514
MAFF,0.251
LINC00877,0.2509
ELL2,0.2501
VDR,0.2484
IQCD,0.2476
SLC37A2,0.247
FGFRL1,0.2469
CHST15,0.2465
ARRDC3,0.2464
LINC00882,0.246
AC010864.1,0.2442
HES7,0.2381
FAM111B,0.2378
SPON2,0.2361
CALCOCO1,0.2361
PAK6,0.236
AFAP1,0.2356
E2F2,0.2354
SNCG,0.2353
C5orf66,0.2342
GDF5,0.2333
APOL6,0.233
CASP1,0.2308
SOX9,0.2298
BATF3,0.2279
GPR39,0.2276
CCDC80,0.227
LIF,0.2266
ZNF175,0.2254
CDC42EP5,0.2244
XAF1,0.2241
MXD3,0.2228
PTPRF,0.2218
AP003068.2,0.2208
LINC02081,0.2206
SKA1,0.2194
ERCC6L,0.2189
AGT,0.2176
DDX60,0.2169
GPR176,0.2153
CST2,0.2149
BCAM,0.2144
PRDM8,0.2137
THEMIS2,0.2129
NEXN,0.2089
IL7R,0.2081
KIAA1217,0.2066
LAPTM5,0.2065
MTUS2,0.2063
SLCO5A1,0.2057
FAM19A3,0.2046
SHISAL1,0.2027
PRELP,0.2022
BORA,0.2017
IGFBP5,0.2017
CHST2,0.2006
RTL5,0.2002
GAS6,0.1988
SMOX,0.1987
NMRK2,0.1982
ZEB1,0.1977
NLRP3,0.1971
KLF10,0.1968
ADAMTSL1,0.1967
NDST3,0.1961
ADAMTS12,0.1953
SLIT1,0.1951
LUCAT1,0.1948
FGF5,0.1948
RASGRP3,0.1938
GAS1,0.1937
HECW2,0.1935
GUCY1A2,0.1934
RERG,0.1933
KCNN3,0.1933
BCAS4,0.1931
SERPINE1,0.1929
GREM2,0.1923
CITED1,0.1916
NEGR1,0.1914
LINC01970,0.1895
AMOTL2,0.1882
SLC22A4,0.1879
HIST1H1A,0.1878
C5AR1,0.1874
PODNL1,0.1867
EVA1C,0.1858
IL24,0.1844
MIR22HG,0.1841
TMEM59L,0.1826
PRDM7,0.1826
SAPCD2,0.1824
COL13A1,0.1814
BCL6,0.1802
BDKRB2,0.1785
CHST9,0.1784
HSD3B7,0.1781
SLCO4A1-AS1,0.1778
FAS,0.1772
LYPD1,0.1771
BIRC3,0.1765
CHRM3,0.176
CPEB2,0.1758
NUAK1,0.174
FRZB,0.1738
CTGF,0.1722
AMPH,0.1721
AC009495.2,0.1719
ERMN,0.171
MAP3K5,0.171
AKAP3,0.1708
LINC02376,0.1699
ESPL1,0.1698
ERN1,0.1697
PTX3,0.1696
FYB1,0.1695
PLCD4,0.1687
KYNU,0.1684
AL023754.1,0.1684
DMTN,0.1683
ANO10,0.1672
ZFYVE28,0.1665
CCDC159,0.1662
CHN1,0.166
CTNNA1,0.1656
