gene,sod
COL6A2,0.7
CAV1,0.6766
ITGA3,0.6711
TMEM158,0.6709
COL6A1,0.6621
IGFBP7,0.6518
FN1,0.6435
VEGFA,0.6352
ARL4C,0.6034
MT2A,0.6005
DPYSL2,0.5874
ME1,0.5872
BASP1,0.5863
PLAUR,0.5745
LTBP1,0.5686
F2R,0.5638
PRKCA,0.5636
ITGA2,0.5633
NRP1,0.5605
TOX2,0.5574
IL6ST,0.5529
MYOF,0.5461
MMP2,0.5421
SPOCK1,0.5385
ITGA11,0.538
LYPD6,0.535
ARHGAP22,0.5344
CAMK2N1,0.534
RAB27B,0.5336
VEGFC,0.5314
TGFBR1,0.5301
STC1,0.53
PCOLCE,0.5286
HLA-B,0.528
WNT5A,0.5268
ARSG,0.5237
NRG1,0.5191
LACC1,0.5077
IL6,0.5056
STX1A,0.4999
LIF,0.4914
IFI6,0.4871
MCTP2,0.4867
MYH15,0.4865
SORBS2,0.4839
CITED2,0.4832
SMAGP,0.4786
EREG,0.4779
SLC12A8,0.4774
NDRG1,0.477
SIRPB1,0.4752
COL15A1,0.4745
SFRP1,0.4691
TIMP3,0.4679
LOXL2,0.4654
AXL,0.4606
PRNP,0.4601
IRS1,0.4578
PHLDB2,0.4574
SLC16A6,0.457
CSF1,0.4518
SRGN,0.4493
JUN,0.4414
NHLRC3,0.4322
OLFML3,0.4322
ENPP1,0.432
C1R,0.4304
HJURP,0.4292
EGFR,0.4263
C1S,0.4243
FAM83D,0.4234
ERRFI1,0.4215
CCPG1,0.4178
HTRA1,0.416
ITGA5,0.4158
PRSS35,0.4154
BCAN,0.413
EDNRB,0.4126
CNIH3,0.4107
CMKLR1,0.4084
SPOCD1,0.4081
KCNN4,0.408
SMURF2,0.4
STEAP1,0.3983
CTSS,0.3973
COL5A2,0.397
MYEOV,0.3966
ANXA1,0.3954
CRIM1,0.395
BIN1,0.3941
DKK1,0.3908
AC058791.1,0.388
ITGA1,0.3848
CLEC2B,0.3841
CEMIP,0.3836
ADM,0.3835
MAP1B,0.3801
TNC,0.3796
FAP,0.3783
CDH13,0.3778
NOV,0.3771
SGCD,0.3746
ANTXR2,0.3745
SCG2,0.3744
HSPG2,0.3742
SPP1,0.3724
CDA,0.3719
NNMT,0.3698
PSD3,0.3685
IFI44,0.3681
MTSS1,0.3671
BST2,0.3635
NUPR1,0.3559
MXD4,0.3539
P2RX7,0.3533
TGM2,0.3524
AC016831.7,0.3506
BGN,0.3501
XAF1,0.3491
TFPI,0.3463
SMIM14,0.346
YPEL3,0.344
TSPAN5,0.3407
MIR222HG,0.3396
CCNF,0.3385
HEG1,0.3382
IL11,0.3378
WISP1,0.3369
EPAS1,0.3359
COL5A1,0.3348
GBP2,0.3344
FGF1,0.334
NEK2,0.3335
SERINC2,0.333
PDGFC,0.3308
MMP1,0.329
LINC00513,0.3277
TFPI2,0.3273
PDGFA,0.3271
IER5L,0.3265
LAMB3,0.3236
GPR68,0.3229
SERPINE1,0.3224
PDGFRA,0.3223
FOXF1,0.3215
PLXNC1,0.3208
PCDH7,0.3203
BDNF,0.3183
SLC1A3,0.3179
COL1A1,0.3165
TSNARE1,0.3149
IL7R,0.3148
IRF1,0.3145
SRPX2,0.3145
RGS2,0.3128
MYLK,0.3116
CPA4,0.3105
FGFR1,0.3098
SERPINB8,0.309
CD70,0.3087
S100A3,0.3065
INSIG1,0.3046
LHX8,0.3038
POU2F2,0.3026
LMO7,0.3021
PECAM1,0.3018
C14orf132,0.3008
MVP,0.2997
SEL1L3,0.2994
SEMA3A,0.2989
OLFML2B,0.2988
CREBRF,0.2982
S100A4,0.297
CCNE2,0.2961
ITGA10,0.2961
ALCAM,0.2958
ABHD17C,0.2956
TGFBR2,0.2956
AHRR,0.2931
SERPINE2,0.2925
OAS2,0.2919
AC090673.1,0.2901
SNAP25,0.2892
COL13A1,0.2888
STEAP3,0.2876
PIF1,0.2867
TBL1X,0.284
MICAL2,0.2839
LOXL3,0.2834
SNED1,0.2832
CDKN1A,0.2827
DNER,0.2807
FOSL2,0.2777
HRH1,0.2772
ELL2,0.2761
STAT2,0.2751
SKIL,0.275
ZFYVE28,0.2742
FAM129A,0.2741
MYADM,0.2739
ANKRD29,0.2711
FZD1,0.2711
THBS1,0.2708
PMEPA1,0.2704
NGFR,0.2702
F2RL1,0.2685
SOCS1,0.2685
CD36,0.2668
CLCF1,0.2658
NDC80,0.2653
IFI44L,0.2652
ADTRP,0.2651
GLI2,0.2647
TNFRSF1B,0.2642
PMP2,0.2638
CASP1,0.2637
EHD2,0.2616
LINC00520,0.2591
KIAA1217,0.259
EDIL3,0.2575
CCL5,0.2574
FSCN1,0.2567
S100A2,0.2553
AC092807.3,0.2553
NTM,0.2543
IGFBP2,0.254
ARHGAP24,0.2536
GPR176,0.2526
BIRC3,0.2523
NUAK1,0.2519
MAP1A,0.2518
IL3RA,0.2512
PRELP,0.2496
FZD8,0.2495
HECW2,0.2487
LIFR,0.2463
DRAM1,0.2455
TTC39C,0.2445
C15orf48,0.2437
SNX29,0.2421
AC093673.1,0.2412
GBP3,0.2407
RBM47,0.2403
STON1,0.2403
NR2F1-AS1,0.2378
GLIPR1,0.2373
TGIF1,0.2366
AK5,0.2353
LINC01239,0.2342
PTPRF,0.2338
HIST1H2AC,0.2337
CCL2,0.2329
CYP27C1,0.2324
MGAT5B,0.2313
SLIT2,0.2303
RARRES3,0.2288
CD163L1,0.2279
CPEB2,0.2261
CACNG8,0.2258
TNFAIP6,0.2257
VGF,0.2242
PLK2,0.2239
NEGR1,0.2238
RPS6KA2,0.2238
GCNT1,0.223
EGR1,0.2216
TMEM119,0.2215
NAV3,0.221
KIF18B,0.2207
ADAMTS12,0.2206
KLF4,0.2204
AMOTL2,0.2196
LYPD6B,0.2195
NR2F1,0.2185
NEIL3,0.2182
SETBP1,0.2174
FHL1,0.2166
NFIL3,0.2159
MEIS3,0.2149
CDKN2B,0.2139
KCNE4,0.2134
CALCOCO1,0.213
SLITRK6,0.2129
CEP19,0.2128
NLRP1,0.2128
FOXD1,0.211
FAIM2,0.2108
MIR3681HG,0.2103
ZNF175,0.2103
APOL6,0.2095
ISG20,0.2093
PTPN22,0.2092
