gene,sod
ARRDC3,0.2082
PLXDC2,0.2076
FOXC2,0.2075
LINC00973,0.2069
SCG5,0.2062
SMIM3,0.2061
CYTIP,0.2056
PTPRZ1,0.2048
HIST2H2BE,0.2045
BCL3,0.2044
SPTLC3,0.2036
KCNMA1,0.2036
SOD3,0.2014
ANGPT1,0.2007
PDGFRB,0.2003
ADAMTSL1,0.2002
EPSTI1,0.2
PID1,0.199
NLRC5,0.1986
VDR,0.1983
CCDC102B,0.1979
EFNA1,0.1968
DNAJB9,0.196
GDF5,0.196
TMEM92,0.1952
PBXIP1,0.195
AC010997.5,0.1945
DDX60,0.1936
ATF3,0.1914
KCNJ2,0.1912
IGFN1,0.1907
KLHL24,0.1905
LINC02081,0.1902
RGL1,0.188
C16orf45,0.1876
ABTB1,0.1873
HLA-F,0.1872
GPR39,0.1861
LINC00698,0.1856
CDH19,0.1846
LPIN3,0.184
SULT1C2,0.184
RGS9,0.1837
NRG2,0.1828
BEND6,0.1828
DPYD,0.1824
ADAM23,0.1821
CCDC80,0.1821
IRF7,0.1813
VASN,0.1793
MT1F,0.1778
ARNTL2,0.1764
CHST1,0.1762
PALM2,0.1753
OLFML2A,0.1752
HIVEP3,0.1732
ABCB5,0.1729
TRMT9B,0.1726
CCBE1,0.1719
MRC2,0.1714
ASNS,0.1709
CLU,0.17
MAFF,0.1695
SMAD7,0.1692
AC020916.1,0.1689
JADE1,0.1687
CEBPD,0.1683
TBC1D12,0.1682
NLRP3,0.1666
SERTAD4-AS1,0.1664
CORO2B,0.1664
ITGB8,0.166
SLC22A4,0.1655
GREM2,0.1651
RBMS3,0.1649
IL1R1,0.1649
HRH2,0.1642
KIF20A,0.1639
FAS,0.1639
LTBP2,0.1634
BFSP2,0.1631
PPY,0.1623
CST7,0.1612
GDNF,0.1606
DDAH1,0.1603
C3,0.1596
NOL4L,0.1595
SQOR,0.1588
DNMBP,0.1588
FGF5,0.158
AFAP1,0.1576
AC233280.1,0.1575
LINC00632,0.1574
DPEP1,0.1574
E2F8,0.157
LAPTM5,0.1562
LINC01480,0.1559
IRF9,0.1555
XYLT1,0.1552
KLF7,0.1552
AOX1,0.1548
LAMB2,0.1547
LINC01444,0.1543
PAQR5,0.1537
TCF7,0.1537
OGFRL1,0.1528
RASD2,0.152
ENPP2,0.1511
LINC00882,0.1494
FHOD3,0.1492
STARD4-AS1,0.1491
LUCAT1,0.1491
AC005280.2,0.1489
STEAP2,0.1487
ITPRIP,0.1481
AC003092.1,0.1479
FBN1,0.1477
SLC9A7,0.1471
AC114760.2,0.1471
MDGA1,0.1469
SCML4,0.1466
SFR1,0.1465
DGAT2,0.1464
TRIP6,0.1464
RGS3,0.1464
TRIM63,0.1463
ADAMTS9,0.1461
DLX5,0.1461
PMAIP1,0.1461
PAK3,0.146
AC004988.1,0.1454
AC021218.1,0.1433
DENND5B,0.1425
AC006058.3,0.1424
LINC01311,0.1419
ERMN,0.1418
PRDM8,0.1411
MPP4,0.1411
RTP4,0.1402
NRCAM,0.1397
IQSEC2,0.1396
SPON2,0.1392
SERTAD1,0.1391
CHN1,0.139
GAS6,0.1377
FGF2,0.1375
ERN1,0.1375
VSTM2B,0.1369
FGFRL1,0.1366
SLC35E4,0.1365
GPC6,0.136
CCDC144A,0.1351
PTPRO,0.1342
COL6A5,0.134
C11orf96,0.133
NID2,0.1321
AC239868.3,0.132
PHKG1,0.1316
PLCL1,0.1309
LMO2,0.1309
NEXN,0.1307
BCL2,0.1287
NR1D1,0.1278
GATA3,0.1276
SERTAD4,0.1271
LINC01531,0.127
FZD2,0.1268
AC009495.2,0.1262
CCL26,0.1256
G0S2,0.1248
AC090409.1,0.1243
BCHE,0.124
KCNN3,0.1237
FYB1,0.1233
TK2,0.1225
FGF7,0.1223
PI15,0.1217
KRT7,0.1214
EPHA2,0.1212
PAK6,0.1201
AL022323.4,0.1198
FAM20C,0.1195
EEF1A2,0.1192
SLC37A2,0.119
MIR210HG,0.1187
AL355512.1,0.1186
MAP3K7CL,0.1173
FAM107B,0.117
CMPK2,0.1167
CCNG2,0.1165
AGT,0.1158
RIPOR2,0.1158
FAM167A,0.1155
MAP3K5,0.1151
SMTN,0.1148
AKR1C3,0.1136
KIAA1671,0.1135
AC099552.1,0.1133
ID3,0.1131
MARCH3,0.1129
H6PD,0.1126
CREB3L1,0.1108
DLX2,0.1108
RASGRP3,0.1102
C16orf95,0.1101
AL138885.3,0.11
ST8SIA5,0.11
HIST1H2BD,0.1098
AC025164.1,0.1097
E2F2,0.1095
DMRTA1,0.1093
GDF15,0.1088
HERC6,0.1088
KYNU,0.1083
KCNJ2-AS1,0.1079
TCP11L2,0.1075
SOCS3,0.1072
SNCG,0.1068
AL353708.3,0.1066
PPP1R9A,0.1063
GALNT12,0.1061
ALOX5AP,0.106
PLCD4,0.106
DNAJC6,0.1059
OCA2,0.1056
ATXN1,0.1054
FOXD3,0.1053
FOXO1,0.1052
LAT2,0.1043
RAD54L,0.1041
DCN,0.104
CTH,0.1036
A2M,0.1029
KSR2,0.1026
SYT14,0.1022
TSHZ2,0.1017
CHL1,0.1015
PAPPA,0.1013
ATP10D,0.101
JAM2,0.1009
SLAMF7,0.1003
ZC3H6,0.0998
MIR137HG,0.0998
KITLG,0.0986
TACC2,0.0979
TNFAIP8L1,0.0978
HES4,0.0975
ALPK1,0.0974
BAALC,0.097
BMPER,0.0969
BORA,0.0967
AL117335.1,0.0966
AL034376.1,0.0963
TCTEX1D2,0.0957
FRZB,0.0947
KCTD12,0.0945
GALNT18,0.0943
ANG,0.094
TRERF1,0.094
EFHC1,0.0935
DCBLD1,0.0934
PRRT2,0.0931
SLC7A11,0.0931
PORCN,0.093
MET,0.0929
TNFSF13B,0.0924
FAM110A,0.0924
VIPR1,0.0923
EPB41L3,0.092
PDCD1LG2,0.0919
C3AR1,0.0918
GUCY1A2,0.0917
LMO7-AS1,0.0917
CTGF,0.0916
GTF2IRD2,0.0915
METTL7A,0.0914
AC142472.1,0.0914
GNG2,0.0913
WDR78,0.0907
CARD16,0.0906
ZNF669,0.0904
NPPC,0.0904
LINC01583,0.0901
ABAT,0.0901
COL8A1,0.0898
AC144652.1,0.0898
AMPH,0.0895
COL5A3,0.0895
C5orf66,0.0892
CLMP,0.0889
Z97200.1,0.0888
AL353622.1,0.0887
MATN3,0.0886
EFNA3,0.0884
CITED1,0.0884
AP001453.2,0.088
SLC8A1,0.0879
NREP,0.0877
LINC00518,0.0875
SHC4,0.0875
TBX3,0.087
AMPD3,0.0863
STARD13,0.0859
FBXO43,0.0858
HIST1H2AH,0.0857
ZGRF1,0.0856
AC116407.2,0.0854
FCRLA,0.0853
BCAS4,0.0851
SSC5D,0.085
TCF4,0.0849
FAM111B,0.0846
C1RL,0.0844
OSGIN1,0.0843
HDAC7,0.0842
TMEM140,0.0842
TOM1L2,0.0842
PTX3,0.0841
YPEL2,0.0839
DPF3,0.0837
CCDC159,0.0835
COL18A1,0.0834
AC139530.1,0.0827
AQP1,0.0825
SORCS1,0.0823
ROBO2,0.0817
KLF12,0.0815
CST2,0.0812
RAPH1,0.0809
SESN2,0.0807
PROX1,0.0804
C15orf65,0.0803
EVA1C,0.0802
AC092683.1,0.0799
MXD3,0.0794
AC105446.1,0.0784
NBEA,0.0783
AC091057.6,0.0783
MGLL,0.0782
EBF1,0.0777
KLF2,0.0775
S1PR3,0.0773
C7orf61,0.0772
TPM2,0.0771
ATP9A,0.0766
AKAP3,0.0759
RNF150,0.0756
CCL7,0.0751
CDCP1,0.0749
LINC01711,0.0747
AC011611.4,0.0746
TNFRSF21,0.0743
CPQ,0.0742
CHMP1B,0.074
AL139089.1,0.0735
AP005233.2,0.0733
GATA6,0.0729
ACOX2,0.0727
ESPL1,0.0727
FCER1G,0.0726
LINC00877,0.0722
C1QL1,0.0721
AC078845.1,0.0715
BOC,0.0714
TRAF1,0.0712
GHR,0.0709
KBTBD8,0.0709
RASEF,0.0708
HIST1H2BG,0.0708
AC132192.2,0.0699
TGFB2,0.0696
AC073195.1,0.0695
DOCK5,0.0688
CCDC150,0.0682
EVI2A,0.0682
PLXNB1,0.068
ITGA7,0.0679
SPRED3,0.0678
TMEM59L,0.0678
MR1,0.0677
IQCD,0.0676
BATF3,0.0674
EFNB1,0.0669
SDC1,0.0669
BRSK2,0.0667
TRANK1,0.0667
SLCO5A1,0.0663
CEMIP2,0.0662
IL1RN,0.0662
HCCAT5,0.0661
PTGER4,0.0661
ZNF367,0.0659
ANGPTL4,0.0659
ZNF385D,0.0658
CDR2L,0.0656
MMP9,0.0654
ENTPD1,0.0653
FZD4,0.0653
STRADA,0.0652
LY6K,0.0652
EGR3,0.0648
DNA2,0.0647
ABCG2,0.0645
SAPCD2,0.0644
LINC00685,0.0644
DOCK11,0.0643
FCGRT,0.0641
LINC02367,0.0637
LINC00492,0.0636
C9orf3,0.0634
RTL5,0.0634
DYDC2,0.0634
PPL,0.0634
ERV3-1,0.0626
PLK4,0.0623
HSD11B1,0.0621
ZMIZ1-AS1,0.0621
RETREG1,0.062
IRAK2,0.0616
VAV3,0.0615
KLHL15,0.0614
APH1B,0.0613
ANKS1B,0.0606
SPACA3,0.0604
AC124016.1,0.0604
RHOB,0.0603
JPH1,0.0603
FAR2,0.0602
AC087741.1,0.0602
PWAR6,0.0602
HSD3B7,0.0601
LRIG1,0.06
ZNF436-AS1,0.0594
MTSS1L,0.0593
NECTIN1,0.059
C5AR1,0.0589
PLA1A,0.0589
CRYBG1,0.0588
CCDC122,0.0586
BMP1,0.0585
CTSO,0.0584
AC006480.2,0.0583
AC044802.2,0.0581
CNBD2,0.058
SDC2,0.0579
JPH4,0.0578
P2RX6,0.0573
GRAMD1B,0.0571
PRDM7,0.0571
IGFBP3,0.0569
AL021368.2,0.0569
PLCB1,0.0561
VAMP5,0.0561
OTUD1,0.0556
FBXL20,0.0555
SNAI1,0.0553
HIST1H1A,0.0551
AC008764.8,0.0551
GDPD5,0.0549
TTLL7,0.0549
BCL2A1,0.0548
TESK2,0.0547
SOX9,0.0544
ID1,0.0536
ZEB1,0.0534
MORF4L2-AS1,0.0533
IL10,0.0533
RELB,0.0533
TBC1D8,0.0532
DMTN,0.053
GLT8D2,0.0527
SRGAP3,0.0525
AC005838.2,0.0525
AC012615.1,0.0523
ARRDC4,0.0518
NMI,0.0518
PLEKHF2,0.0517
FAM218A,0.051
ST8SIA4,0.051
SLC4A8,0.0506
AC023908.3,0.0504
C1GALT1C1L,0.0503
LBH,0.0502
NMRK2,0.0502
SEMA3B,0.0498
ATP10A,0.0496
TNFAIP3,0.0496
RFTN2,0.0492
HIST1H2BJ,0.0491
MOXD1,0.0491
ZC3H12A,0.049
LGR4,0.049
C3orf49,0.0489
MAN2B2,0.0487
KLHL4,0.0486
CASC15,0.0485
HIST1H2AK,0.0481
AC090114.2,0.048
ROBO3,0.048
SMCR5,0.0479
NCKAP5,0.0479
PTPRU,0.0477
AGFG2,0.0474
TBC1D8B,0.0473
PINLYP,0.0473
AL021707.2,0.0471
AL365356.5,0.047
HLA-DMA,0.047
AC092040.1,0.0469
CCDC15,0.0466
HOXB-AS1,0.0466
RXRG,0.0464
ARID3A,0.0463
TOGARAM1,0.0461
ARHGEF37,0.046
CADM4,0.046
AC004839.1,0.0459
ANKRD36C,0.0459
KCNAB1,0.0457
AC013394.1,0.0456
TICRR,0.0454
TOB1,0.0451
AFAP1L2,0.045
TUT7,0.045
HDAC9,0.0449
CFAP61,0.0448
HSPA12A,0.0447
FAM43A,0.0446
FAM19A5,0.0446
AC007952.4,0.0444
AP003469.4,0.0443
BBC3,0.0441
PLAG1,0.0439
CLMN,0.0438
CDC25C,0.0438
SLC2A13,0.0435
MEGF9,0.0435
GSE1,0.0434
SERPINB2,0.0434
IQGAP2,0.043
MMP16,0.0428
MAL,0.0425
IRF4,0.0425
AC097534.2,0.0424
ARHGEF39,0.0424
SBSN,0.0423
AC020656.1,0.0421
ITPR1,0.0419
PRKG1,0.0419
TINCR,0.0416
PDGFRL,0.0415
ISM1,0.0415
PTPRD-AS1,0.0413
PDE7B,0.0411
AC092069.1,0.041
IL24,0.0409
NRROS,0.0408
VEPH1,0.0408
TLN2,0.0408
AC103718.1,0.0407
MXD1,0.0398
TSC22D3,0.0397
CARD6,0.0396
TVP23C,0.0396
PLPP2,0.0395
GRAMD2B,0.0394
MAMLD1,0.0393
KCP,0.0393
IL4R,0.039
PHF11,0.039
TPPP,0.0389
NAT8L,0.0388
RNF128,0.0388
PCDH17,0.0386
PTCH1,0.0385
FMNL1,0.0385
BICDL1,0.0382
EVI2B,0.0382
AC099522.2,0.0381
AC008991.2,0.0377
ARHGAP11B,0.0373
SSBP2,0.0373
POU3F1,0.0372
DENND2D,0.0371
SULF2,0.037
EFNB3,0.0368
LINC00326,0.0368
AJUBA,0.0366
MLLT3,0.0365
AL008729.2,0.0364
STXBP5-AS1,0.0363
UGT3A2,0.0361
SYNE3,0.0359
AL035413.1,0.0359
KCNH1,0.0357
IL1B,0.0356
DGKI,0.0354
AC005332.5,0.0353
DUSP5,0.0353
TRABD2A,0.0352
PRKCB,0.0352
SSPN,0.0352
TMEM86A,0.0349
NFKB2,0.0348
SNHG10,0.0342
ZSCAN30,0.034
CDC42EP5,0.034
ACYP2,0.0339
CLK4,0.0337
AC027130.1,0.0337
FAM19A3,0.0337
FAM229A,0.0334
HIST2H2BF,0.0333
ATP7A,0.0333
CACNB4,0.0333
TMTC2,0.0333
RGMB,0.0329
EMILIN1,0.0329
NIM1K,0.0328
TNFRSF19,0.0326
TMEM38A,0.0323
MASTL,0.0323
NBPF19,0.0323
PLEKHB1,0.0322
FEZ1,0.0319
COL17A1,0.0318
AC245060.6,0.0318
CDK15,0.0318
GDNF-AS1,0.0318
AC139887.2,0.0317
EIF4E3,0.0314
PIM1,0.0314
DNM1,0.0311
ROPN1,0.0308
CSF1R,0.0307
SUMF1,0.0305
LINC01089,0.0304
LINC00649,0.0304
PPARGC1B,0.0302
CFAP44,0.0301
B3GALT4,0.0301
ABI3BP,0.03
HCN2,0.0299
HSPB8,0.0299
IFT80,0.0298
RGS16,0.0296
AC110285.6,0.0296
TRIM66,0.0293
KDM4C,0.0291
CTTNBP2,0.0289
SLC17A5,0.0288
LINC01725,0.0288
AC027237.3,0.0288
ABLIM3,0.0287
C16orf74,0.0286
FLRT2,0.0283
CXCL1,0.0283
LINC00504,0.0282
DMD,0.0282
BTBD19,0.0281
NRIP3,0.0281
RGS1,0.028
FAM214B,0.0278
SH3D19,0.0275
JDP2,0.0274
FAM69C,0.0272
CLDN11,0.0271
TINAGL1,0.0269
KRT27,0.0269
LINC00595,0.0266
RRS1-AS1,0.0262
AKNA,0.0262
CSGALNACT1,0.0259
LINC02076,0.0256
TMEM45A,0.0254
DDX60L,0.0254
ADHFE1,0.0253
OTX1,0.0253
AIF1L,0.0253
SFTPC,0.0251
MTFR2,0.0251
ERO1B,0.025
ATP6AP1L,0.025
LINC01615,0.0247
ZC3H12C,0.0245
PLCH1-AS1,0.0244
PLPP3,0.0243
ANKRD50,0.0242
ATG7,0.0241
ASAP3,0.0238
LINC01315,0.0238
PTPRD,0.0237
DNASE1,0.0237
TMEM117,0.0235
WFDC1,0.0233
PPFIA2,0.0228
LINC00941,0.0227
LINC01934,0.0227
AC008764.6,0.0226
AL691432.2,0.0226
FAM222A,0.0224
RFTN1,0.0223
LINC02119,0.0222
FRY,0.0219
SERTAD3,0.0219
LMCD1,0.0219
TMEM171,0.0219
CATSPER1,0.0215
OSBPL5,0.0214
TAF4B,0.0214
AL050341.2,0.0211
EFCAB2,0.021
AVIL,0.0209
KHK,0.0209
AL450311.2,0.0208
FOXN3,0.0206
CENPI,0.0204
ZNF484,0.0203
AC106881.1,0.0202
THBS3,0.0201
RTN4R,0.0201
RANBP6,0.0201
ZNF362,0.0199
ADAP1,0.0199
RAB3A,0.0198
ANKRD42,0.0196
NRG3,0.0194
AC025159.1,0.0193
MIR22HG,0.0193
MFSD6,0.0192
CES1,0.0191
ATP6V1E2,0.0191
GPRC5C,0.019
COL6A3,0.0188
TMEM147-AS1,0.0187
TDRD7,0.0187
CARD10,0.0186
GSTM3,0.0185
ST6GAL1,0.0185
TTC39A,0.0184
FAM228B,0.0184
PCDHB9,0.0184
MIR34AHG,0.0184
GPRIN3,0.0179
RFX3,0.0178
MPZ,0.0177
APOL1,0.0173
APBB2,0.0173
PTGIR,0.0173
SHISAL1,0.0173
CAMTA1-DT,0.0171
FAM225B,0.017
MADCAM1,0.0169
MESP1,0.0167
FAM69A,0.0166
RIMS2,0.0165
ACTA2,0.0164
NLGN1,0.0161
SATB1,0.016
CU638689.4,0.016
DEPP1,0.016
TRIM16L,0.0157
IFI27,0.0157
SERPINI1,0.0155
EFL1,0.0154
BBS10,0.0154
CPNE7,0.0152
PODXL2,0.0152
IDUA,0.0152
BLID,0.0152
DDR1,0.0151
AL355472.1,0.015
SPATA13,0.015
COL25A1,0.0149
KCNG1,0.0148
PLSCR4,0.0147
PCAT6,0.0147
C1orf56,0.0143
TCF7L1,0.0143
DCP1B,0.0142
NAPB,0.0142
LINC00265,0.0141
AC245060.5,0.0139
CAPN10-DT,0.0139
MAPK10,0.0138
MRAS,0.0137
CSRNP1,0.0136
LRRK2,0.0136
LINC00702,0.0135
NPTXR,0.0135
SAMMSON,0.0134
SP140,0.0134
CCDC9B,0.0133
AC010618.3,0.0133
AC099791.2,0.0131
KCNN2,0.0131
PLB1,0.0131
SHF,0.013
ZNF117,0.0129
AC145124.1,0.0128
FHIT,0.0128
FMN2,0.0127
CCDC140,0.0126
YPEL1,0.0126
PLXNA3,0.0125
AL035446.1,0.0123
CMTM3,0.0121
ANKRD37,0.0121
ENC1,0.012
FLRT3,0.012
TMEM105,0.0119
THEMIS2,0.0119
NAT16,0.0119
CPT1C,0.0119
AC005076.1,0.0117
CSAD,0.0117
AC120053.1,0.0114
FCHO2,0.0113
SEMA3D,0.0113
LINC01970,0.0112
LINC01023,0.0111
CXADR,0.0111
FBXO2,0.011
SALL1,0.011
IL1R2,0.0109
TIAM1,0.0107
CPN1,0.0107
ERICH2,0.0106
PCNX2,0.0105
MCTP1,0.0103
ARSD,0.0102
N4BP2L1,0.0102
LINC02535,0.0101
CERS1,0.01
DRD2,0.01
AC074327.1,0.01
EFCAB13,0.01
HTR7,0.01
HOXD13,0.0099
LINC01318,0.0098
TIAM2,0.0098
CPLANE2,0.0096
RDH10,0.0096
NBPF14,0.0096
PCAT7,0.0096
LINC01778,0.0095
S1PR1,0.0094
AC008741.2,0.0094
HOXA-AS2,0.0093
DNAJA4,0.0092
WTIP,0.0091
LRGUK,0.0091
HBQ1,0.0091
HAS2,0.009
CRELD1,0.009
TP53I11,0.0088
PHACTR3,0.0087
RAD54B,0.0085
RASGRF1,0.0085
P3H2,0.0085
HLA-DPA1,0.0084
TLCD2,0.0083
PRKAG2-AS1,0.0082
RNASEK,0.0082
LRRTM4,0.0081
LINC01515,0.0077
LMBRD2,0.0077
PANX2,0.0077
DND1,0.0076
GPC1,0.0074
AL365434.2,0.0073
IGFBP5,0.0072
AC061992.1,0.0072
GALNT6,0.0071
ST6GALNAC3,0.0068
AL121832.2,0.0068
DICER1-AS1,0.0067
OIP5,0.0067
FOXD3-AS1,0.0064
ZNF441,0.0064
CCDC191,0.0063
PRCD,0.0062
AC017033.1,0.0061
ROR1,0.0057
AC040169.1,0.0054
CMTM5,0.0054
RHEBL1,0.0053
AC004130.1,0.0052
EFHB,0.0051
THAP9-AS1,0.0049
DOC2A,0.0049
PDE9A,0.0047
CELSR1,0.0046
TTN,0.0045
CNTN1,0.0044
AC017083.1,0.0044
AL627171.1,0.0041
ZSWIM6,0.0039
LRP5,0.0039
FXYD6,0.0037
ZNF773,0.0037
DDHD1,0.0037
AL109936.6,0.0036
DMKN,0.0035
SLC22A15,0.0035
SLC44A2,0.0035
GPR19,0.0034
ST3GAL3,0.0034
WDFY3,0.0034
AC005786.3,0.0031
SH3TC1,0.0031
ARSJ,0.0031
LINC00115,0.003
RNF208,0.0029
LRRC37A2,0.0029
WDPCP,0.0028
SIAE,0.0028
CD302,0.0027
NPL,0.0025
AC093525.7,0.0025
HIST1H2AE,0.0025
ZNF506,0.0025
AL035563.1,0.0024
HTATIP2,0.0024
FABP3,0.0023
AC003681.1,0.0021
AC025569.1,0.0021
ZIC1,0.0021
RTN4RL1,0.0019
AL121827.2,0.0019
AKNAD1,0.0019
AC137932.3,0.0018
FAM157C,0.0017
DTX4,0.0016
NRXN3,0.0015
PALM2-AKAP2,0.0014
PODNL1,0.0014
SESTD1,0.0011
FBXO8,0.001
MOB3A,0.0009
AL683813.1,0.0009
PSMD6-AS2,0.0009
FAM214A,0.0009
SDCBP2-AS1,0.0009
AC132872.2,0.0008
ADGRE1,0.0008
AC016745.2,0.0007
CHRM3,0.0006
ELF4,0.0006
LINC00324,0.0005
PARD6B,0.0004
TRNP1,0.0004
CD83,0.0004
ANKRD33B,0.0003
PUS10,0.0002
ANKRD30B,0.0002
ALDH6A1,0.0001
HIP1R,0.0001
ROR2,-0.0001
RBKS,-0.0002
TRPM8,-0.0002
ARSB,-0.0002
EIF2S3B,-0.0002
DUSP15,-0.0004
GRASP,-0.0005
VASH1,-0.0006
OSMR-AS1,-0.0007
TIGD6,-0.0008
HIST1H3G,-0.0009
METTL27,-0.0009
FBXO6,-0.0009
EPHB3,-0.001
ZNF595,-0.001
AC011247.1,-0.001
EPHA4,-0.001
PLEKHH2,-0.0011
RSPH3,-0.0011
KATNAL2,-0.0011
PPARGC1A,-0.0012
